Histogram 
 val 164	 = 82618
 val 165	 = 83843
 val 166	 = 85020
 val 167	 = 86274
 val 168	 = 87505
 val 169	 = 88713
 val 170	 = 89922
 val 171	 = 91239
 val 172	 = 92638
 val 173	 = 94002
 val 174	 = 95367
 val 175	 = 96840
 val 176	 = 98288
 val 177	 = 99784
 val 178	 = 101286
 val 179	 = 102821
 val 180	 = 104352
 val 181	 = 105966
 val 182	 = 107701
 val 183	 = 109485
 val 184	 = 111325
 val 185	 = 113368
 val 186	 = 115594
 val 187	 = 117930
 val 188	 = 120417
 val 189	 = 123230
 val 190	 = 126248
 val 191	 = 129446
 val 192	 = 132990
 val 193	 = 136820
 val 194	 = 140860
 val 195	 = 145051
 val 196	 = 149409
 val 197	 = 153807
 val 198	 = 158531
 val 199	 = 163033
 val 200	 = 167637
 val 201	 = 172111
 val 202	 = 176333
 val 203	 = 180433
 val 204	 = 184194
 val 205	 = 187574
 val 206	 = 190547
 val 207	 = 193062
 val 208	 = 195281
 val 209	 = 197195
 val 210	 = 198774
 val 211	 = 200109
 val 212	 = 201256
 val 213	 = 202224
 val 214	 = 203012
 val 215	 = 203676
 val 216	 = 204247
 val 217	 = 204694
 val 218	 = 205079
 val 219	 = 205397
 val 220	 = 205652
 val 221	 = 205906
 val 222	 = 206113
 val 223	 = 206268
 val 224	 = 206395
 val 225	 = 206505
 val 226	 = 206578
 val 227	 = 206653
 val 228	 = 206701
 val 229	 = 206745
 val 230	 = 206786
 val 231	 = 206819
 val 232	 = 206849
 val 233	 = 206874
 val 234	 = 206890
 val 235	 = 206907
 val 236	 = 206920
 val 237	 = 206931
 val 238	 = 206942
 val 239	 = 206952
 val 240	 = 206958
 val 241	 = 206961
 val 242	 = 206964
 val 243	 = 206966
 val 244	 = 206968
 val 245	 = 206968
 val 246	 = 206969
 val 247	 = 206970
 val 248	 = 206970
 val 249	 = 206971
 val 250	 = 206973
 val 251	 = 206973
 val 252	 = 206973
 val 253	 = 206973
 val 254	 = 206973
 val 255	 = 206973

EQ Table
 val 0	 = 0
 val 1	 = 0
 val 2	 = 0
 val 3	 = 0
 val 4	 = 0
 val 5	 = 0
 val 6	 = 0
 val 7	 = 0
 val 8	 = 0
 val 9	 = 0
 val 10	 = 0
 val 11	 = 0
 val 12	 = 0
 val 13	 = 0
 val 14	 = 0
 val 15	 = 0
 val 16	 = 0
 val 17	 = 0
 val 18	 = 0
 val 19	 = 0
 val 20	 = 0
 val 21	 = 0
 val 22	 = 0
 val 23	 = 0
 val 24	 = 0
 val 25	 = 0
 val 26	 = 0
 val 27	 = 0
 val 28	 = 0
 val 29	 = 0
 val 30	 = 0
 val 31	 = 0
 val 32	 = 0
 val 33	 = 0
 val 34	 = 0
 val 35	 = 0
 val 36	 = 0
 val 37	 = 0
 val 38	 = 0
 val 39	 = 0
 val 40	 = 0
 val 41	 = 0
 val 42	 = 0
 val 43	 = 0
 val 44	 = 0
 val 45	 = 0
 val 46	 = 0
 val 47	 = 0
 val 48	 = 0
 val 49	 = 0
 val 50	 = 0
 val 51	 = 0
 val 52	 = 0
 val 53	 = 0
 val 54	 = 0
 val 55	 = 1
 val 56	 = 1
 val 57	 = 1
 val 58	 = 1
 val 59	 = 1
 val 60	 = 2
 val 61	 = 2
 val 62	 = 2
 val 63	 = 2
 val 64	 = 3
 val 65	 = 3
 val 66	 = 3
 val 67	 = 4
 val 68	 = 4
 val 69	 = 4
 val 70	 = 5
 val 71	 = 5
 val 72	 = 6
 val 73	 = 6
 val 74	 = 6
 val 75	 = 7
 val 76	 = 7
 val 77	 = 8
 val 78	 = 8
 val 79	 = 8
 val 80	 = 9
 val 81	 = 9
 val 82	 = 10
 val 83	 = 10
 val 84	 = 11
 val 85	 = 11
 val 86	 = 12
 val 87	 = 13
 val 88	 = 13
 val 89	 = 14
 val 90	 = 15
 val 91	 = 15
 val 92	 = 16
 val 93	 = 17
 val 94	 = 17
 val 95	 = 18
 val 96	 = 19
 val 97	 = 19
 val 98	 = 20
 val 99	 = 21
 val 100	 = 22
 val 101	 = 22
 val 102	 = 23
 val 103	 = 24
 val 104	 = 24
 val 105	 = 25
 val 106	 = 26
 val 107	 = 26
 val 108	 = 27
 val 109	 = 28
 val 110	 = 28
 val 111	 = 29
 val 112	 = 30
 val 113	 = 30
 val 114	 = 31
 val 115	 = 31
 val 116	 = 32
 val 117	 = 33
 val 118	 = 33
 val 119	 = 34
